world_hash,run_key,label,tag,network,districting,placement_source,kinds,classes,n_include,n_exclude,transform,scaling,interval_agg_h,window_size,step_size,reference_months,lstm_units,rounds,fl_seed,sensor_hash,n_windows,seconds,saved_at,status
c5c8904c3d8c,fe4d4a60301a,fpmp__none__minmax_ref__a3w84s12__u30r5s0,District_A__LR_LR_LR_LR__baseline,ky72,girvan_newman,dynamic,flow+pressure,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,5,0,2abf702a,1308,20.0,2026-09-16 19:01:47,ok
c5c8904c3d8c,1dced6f2762d,fmp~b02f4f__none__minmax_ref__a3w84s12__u30r5s0,District_A__LR_LR_LR_LR__baseline,ky72,girvan_newman,dynamic,flow,mixed+pure,0,8,none,minmax_ref,3,84,12,12,30,5,0,1cdad7cc,1308,16.2,2026-09-16 19:09:09,ok
ece8f4ad92e5,36dfdcd31d13,fmp__none__minmax_ref__a1w24s12__u30r5s0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,1,24,12,12,30,5,0,b186cac9,7020,14.2,2026-09-16 20:00:42,ok
ece8f4ad92e5,3a1e4ba62977,fmp__none__minmax_ref__a2w168s24__u30r5s0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,2,168,24,12,30,5,0,b186cac9,772,22.5,2026-09-16 20:13:45,ok
ece8f4ad92e5,766ed3159174,fmp__none__minmax_ref__a2w128s24__u30r5s0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,2,128,24,12,30,5,0,b186cac9,1288,24.7,2026-09-16 20:16:41,ok
ece8f4ad92e5,1eba1bd89cd4,fmp__none__minmax_ref__a2w84s12__u30r5s0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,2,84,12,12,30,5,0,b186cac9,2592,25.1,2026-09-16 20:21:30,ok
ece8f4ad92e5,70e0fc12832b,fmp__none__minmax_ref__a3w84s12__u30r15s0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,15,0,b186cac9,1548,31.8,2026-09-17 08:30:42,ok
ece8f4ad92e5,3675c1f38427,fmp__none__minmax_ref__a3w84s12__u30r5s0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,5,0,b186cac9,1548,19.2,2026-09-17 09:44:11,ok
ece8f4ad92e5,24403632d296,fmp__none__minmax_ref__a3w84s12__u30r30e5pw0s0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,30,0,b186cac9,1548,250.0,2026-09-17 09:52:37,ok
ece8f4ad92e5,79139ce2449a,fmp__none__minmax_ref__a3w84s12__u30r30e5s0__Lv1,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,30,0,b186cac9,1548,252.8,2026-09-17 10:10:20,ok
ece8f4ad92e5,ebf14537cde1,fmp__none__minmax_ref__a3w84s12__u30r30e5s0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,30,0,b186cac9,1548,228.3,2026-09-17 13:58:31,ok
ece8f4ad92e5,5da9df16294e,fmp__none+or__minmax_ref__a3w84s12__u30r30e5s0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,30,0,b186cac9,1548,268.6,2026-09-17 14:03:02,ok
ece8f4ad92e5,91e9ca3d8e16,fmp__none__minmax_ref__a3w84s12__u30r30e5s0__Lp0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,30,0,b186cac9,1548,245.4,2026-09-17 14:07:10,ok
ece8f4ad92e5,274f83bbaa3a,fmp__none+or__minmax_ref__a3w84s12__u30r30e5s0__Lp0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,30,0,b186cac9,1548,248.3,2026-09-17 14:11:19,ok
ece8f4ad92e5,028ca9bf44b3,fmp__none__minmax_ref__a3w84s12__u30r30e5s0__Lp0.1-d1,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,30,0,b186cac9,1548,277.1,2026-09-17 14:15:57,ok
ece8f4ad92e5,234dfe52877b,fmp__none+or__minmax_ref__a3w84s12__u30r30e5s0__Lp0.1-d1,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,30,0,b186cac9,1548,281.4,2026-09-17 14:20:43,ok
ece8f4ad92e5,949895d5bea0,fmp__none__minmax_ref__a3w84s12__u30r30e5s0__Lp0.1-s1,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,30,0,b186cac9,1548,288.9,2026-09-17 14:25:35,ok
ece8f4ad92e5,69c7fe1265bf,fmp__none+or__minmax_ref__a3w84s12__u30r30e5s0__Lp0.1-s1,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,12,12,30,30,0,b186cac9,1548,290.1,2026-09-17 14:30:27,ok
ece8f4ad92e5,0f14e551356d,fmp__none__minmax_ref__a3w84s4__u30r30e5s0__Lp0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,4,12,30,30,0,b186cac9,4640,732.2,2026-09-17 14:42:42,ok
ece8f4ad92e5,834f3f95df95,fmp__none+or__minmax_ref__a3w84s4__u30r30e5s0__Lp0,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,4,12,30,30,0,b186cac9,4640,741.3,2026-09-17 14:55:12,ok
ece8f4ad92e5,c307ec4b2405,fmp__none+or__minmax_ref__a3w84s4__u30r712e5s0__Lp0__C0-11,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,4,12,30,712,0,b186cac9,4640,3107.8,2026-09-17 20:51:24,ok
ece8f4ad92e5,4baaf84b3c05,fmp__none+or__minmax_ref__a3w84s4__u30r30e5s0__Lp0__S6x129w10,District_A__LR_LR_LR_LR__baseline,ky72,spectral,dynamic,flow,mixed+pure,0,0,none,minmax_ref,3,84,4,12,30,30,0,b186cac9,0,3091.4,2026-09-17 21:42:56,ok
