map,targets,n_targets,to_land_use,to_income,anchor_scale,beta,pmin,pmax,inside_%,drifted_%,front_done,peak_lps,mean_lps,calibration,mass_err,dd_err,passed,fail
LR_LR_LR_LR_LR,A,1,mixed,low,0.05,0.0,29.41182518005371,48.455482482910156,100.0,100.0,True,686.7383208617427,314.88157196644084,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,A,1,mixed,low,0.05,0.25,29.108524322509766,48.45360565185547,100.0,100.0,True,693.8814454560402,319.64645386830557,1.0,1.0788092907887403e-07,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,A,1,mixed,low,0.05,0.5,28.71811866760254,48.45115661621094,100.0,100.0,True,702.9848527040177,325.7169750838002,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,A,1,mixed,low,0.05,0.75,28.21431541442871,48.44795608520508,100.0,100.0,True,714.5860676742946,333.4508976839276,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,A,1,mixed,low,0.05,1.0,27.562137603759766,48.443748474121094,100.0,100.0,True,729.3699535296948,343.3040151777092,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,A,1,commercial,low,0.05,0.0,29.571134567260742,48.4542236328125,100.0,100.0,True,682.9608250982849,314.59106703327245,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,A,1,commercial,low,0.05,0.25,29.13138771057129,48.45035934448242,100.0,100.0,True,693.3451515650322,322.5568742080324,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,A,1,commercial,low,0.05,0.5,28.476215362548828,48.44443130493164,100.0,100.0,True,708.5754174600157,334.23371702522616,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,A,1,commercial,low,0.05,0.75,27.493501663208008,48.43519592285156,100.0,100.0,True,730.9109261623425,351.35045801407097,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,A,1,commercial,low,0.05,1.0,26.005598068237305,48.42048645019531,100.0,100.0,True,763.6638876045604,376.44138598715244,1.0,1.881244031665119e-07,1.5462499335427235e-07,True,
LR_LR_LR_LR_LR,A,1,industrial,low,0.05,0.0,29.709203720092773,48.425315856933594,100.0,100.0,True,679.6725580910366,313.958865527059,1.0,0.0,1.6259215396043984e-07,True,
